textID	ID(seq)		word	lemma	PoS
-----	-----		-----	-----	-----

1124	771612793	de	de	e
1124	771612794	la	la	ld-fs
1124	771612795	Nación	nación	nms    
1124	771612796	,	$,	y
1124	771612797	Cristina	cristina	o
1124	771612798	Fernández	fernández	o
1124	771612799	,	$,	y
1124	771612800	que	que	cs
1124	771612801	fue	ser	vis-3s
1124	771612802	suspendida	suspender	vps-fs
1124	771612803	esta	este	dd-
1124	771612804	semana	semana	nfs    
1124	771612805	por	por	e
1124	771612806	el	el	ld-ms
1124	771612807	trágico	trágico	jms    
1124	771612808	accidente	accidente	nms    
1124	771612809	ocurrido	ocurrir	vps-ms
1124	771612810	a	a	e
1124	771612811	pocos	poco	dxmp-ind-
1124	771612812	kilómetros	kilómetro	nmp    
1124	771612813	Puerto	puerto	o
1124	771612814	Madryn	madryn	o
1124	771612815	.	$.	y
1124	771612816	En	en	e
1124	771612817	ese	ese	dd-
1124	771612818	marco	marco	nms    
1124	771612819	se	se	po
1124	771612820	inaugurará	inaugurar	vif-3s
1124	771612821	la	la	ld-fs
1124	771612822	Ruta=Nacional=Nº	ruta=nacional=nº	o
1124	771612823	232	232	m$
1124	771612824	en	en	e
1124	771612825	el	el	ld-ms
1124	771612826	segmento	segmento	nms    
1124	771612827	que	que	cs
1124	771612828	une	unir	vip-3s
1124	771612829	Chelforó	chelforó	o
1124	771612830	con	con	e
1124	771612831	La	la	o
1124	771612832	Japonesa	japonesa	o
1124	771612833	(	par-l	y
1124	771612834	La	la	ld-fs
1124	771612835	Pampa	pampa	nms    
1124	771612836	)	par-r	y
1124	771612837	.	$.	y
1124	771612838	Además	además	r
1124	771612839	,	$,	y
1124	771612840	detalló	detallar	vis-3s
1124	771612841	que	que	cs
1124	771612842	su	su	dp-
1124	771612843	agenda	agenda	nfs    
1124	771612844	incluye	incluir	vip-3s
1124	771612845	otro	otro	dxms-ind-
1124	771612846	acto	acto	nms    
1124	771612847	de	de	e
1124	771612848	egreso	egreso	nms    
1124	771612849	de	de	e
1124	771612850	efectivos	efectivo	j
1124	771612851	policiales	policial	jmp    
1124	771612852	previsto	prever	vps-ms
1124	771612853	para	para	e
1124	771612854	mañana	mañana	r
1124	771612855	a	a	e
1124	771612856	las	la	ld-fp
1124	771612857	10	10	m$
1124	771612858	en	en	e
1124	771612859	General	general	o
1124	771612860	Roca	roca	o
1124	771612861	y	y	cc
1124	771612862	actividades	actividad	nfp    
1124	771612863	en	en	e
1124	771612864	el	el	ld-ms
1124	771612865	Valle	valle	o
1124	771612866	Medio	medio	o
1124	771612867	en	en	e
1124	771612868	horas	hora	nfp    
1124	771612869	de	de	e
1124	771612870	el	el	ld-ms
1124	771612871	mediodía	mediodía	nms    
1124	771612872	.	$.	y
1124	771612873	Asimismo	asimismo	r
1124	771612874	,	$,	y
1124	771612875	adelantó	adelantar	vis-3s
1124	771612876	que	que	cs
1124	771612877	el	el	ld-ms
1124	771612878	lunes	lunes	nmp    
1124	771612879	participará	participar	vif-3s
1124	771612880	de	de	e
1124	771612881	el	el	ld-ms
1124	771612882	lanzamiento	lanzamiento	nms    
1124	771612883	de	de	e
1124	771612884	los	el	ld-mp
1124	771612885	Juegos	juegos	o
1124	771612886	Evita	evita	o
1124	771612887	en	en	e
1124	771612888	Cinco	cinco	mc
1124	771612889	Saltos	saltos	o
1124	771612890	y	y	cc
1124	771612891	el	el	ld-ms
1124	771612892	jueves	jueves	nms    
1124	771612893	encabezará	encabezar	vif-3s
1124	771612894	la	la	ld-fs
1124	771612895	presentación	presentación	nfs    
1124	771612896	de	de	e
1124	771612897	un	un	li-ms
1124	771612898	nuevo	nuevo	jms    
1124	771612899	@	@	n
1124	771612900	@	@	n
1124	771612901	@	@	n
1124	771612902	@	@	n
1124	771612903	@	@	n
1124	771612904	@	@	n
1124	771612905	@	@	n
1124	771612906	@	@	n
1124	771612907	@	@	n
1124	771612908	@	@	n
1124	771612909	Vivienda	vivienda	nfs    
1124	771612910	(	par-l	y
1124	771612911	IPPV	ippv	o
1124	771612912	)	par-r	y
1124	771612913	en	en	e
1124	771612914	Cipolletti	cipolletti	o
1124	771612915	.	$.	y
1124	771612916	En	en	e
1124	771612917	esa	ese	dd-
1124	771612918	misma	mismo	dxfs-
1124	771612919	jornada	jornada	nfs    
1124	771612920	,	$,	y
1124	771612921	pero	pero	cc
1124	771612922	en	en	e
1124	771612923	horas	hora	nfp    
1124	771612924	de	de	e
1124	771612925	la	la	ld-fs
1124	771612926	tarde	tarde	nfs    
1124	771612927	,	$,	y
1124	771612928	recibirá	recibir	vif-3s
1124	771612929	a	a	e
1124	771612930	los	el	ld-mp
1124	771612931	referentes	referente	n
1124	771612932	de	de	e
1124	771612933	las	la	ld-fp
1124	771612934	ligas	liga	nfp    
1124	771612935	de	de	e
1124	771612936	fútbol	fútbol	nms    
1124	771612937	de	de	e
1124	771612938	la	la	ld-fs
1124	771612939	provincia	provincia	nfs    
1124	771612940	para	para	e
1124	771612941	avanzar	avanzar	vr
1124	771612942	en	en	e
1124	771612943	diversos	diverso	j
1124	771612944	temas	tema	nmp    
1124	771612945	comunes	común	jmp    
1124	771612946	.	$.	y
1124	771612947	Finalmente	finalmente	r
1124	771612948	,	$,	y
1124	771612949	anunció	anunciar	vis-3s
1124	771612950	que	que	cs
1124	771612951	a	a	e
1124	771612952	fines	fin	nmp    
1124	771612953	de	de	e
1124	771612954	la	la	ld-fs
1124	771612955	semana	semana	nfs    
1124	771612956	próxima	próximo	jfs    
1124	771612957	encabezará	encabezar	vif-3s
1124	771612958	los	el	ld-mp
1124	771612959	actos	acto	nmp    
1124	771612960	de	de	e
1124	771612961	lanzamiento	lanzamiento	nms    
1124	771612962	de	de	e
1124	771612963	la	la	ld-fs
1124	771612964	temporada	temporada	nfs    
1124	771612965	invernal	invernal	jms    
1124	771612966	en	en	e
1124	771612967	el	el	ld-ms
1124	771612968	cerro	cerro	nms    
1124	771612969	Perito	perito	o
1124	771612970	Moreno	moreno	o
1124	771612971	de	de	e
1124	771612972	El	el	o
1124	771612973	Bolsón	bolsón	o
1124	771612974	y	y	cc
1124	771612975	también	también	r
1124	771612976	en	en	e
1124	771612977	Bariloche	bariloche	o
1124	771612978	,	$,	y
1124	771612979	donde	dónde	r
1124	771612980	recibirá	recibir	vif-3s
1124	771612981	el	el	ld-ms
1124	771612982	primer	primero	mc
1124	771612983	vuelo	vuelo	nms    
1124	771612984	de	de	e
1124	771612985	Aerolíneas	aerolíneas	o
1124	771612986	Argentinas	argentinas	o
1124	771612987	con	con	e
1124	771612988	turistas	turista	nmp    
1124	771612989	proveniente	proveniente	jms    
1124	771612990	de	de	e
1124	771612991	San	san	o
1124	771612992	Pablo	pablo	o
1124	771612993	(	par-l	y
1124	771612994	Brasil	brasil	o
1124	771612995	)	par-r	y
1124	771612996	.	$.	y
1124	771612997	Para	para	e
1124	771612998	poder	poder	vr
1124	771612999	tomar	tomar	vr
1124	771613000	las	la	ld-fp
1124	771613001	decisiones	decisión	nfp    
1124	771613002	justas	justo	jfp    
1124	771613003	y	y	cc
1124	771613004	correctas	correcto	jfp    
1124	771613005	hay	haber	v
1124	771613006	que	que	cs
1124	771613007	estar	estar	vr
1124	771613008	en	en	e
1124	771613009	el	el	ld-ms
1124	771613010	lugar	lugar	nms    
1124	771613011	.	$.	y
1124	771613012	La	la	ld-fs
1124	771613013	propia	propio	j
1124	771613014	gente	gente	nfs    
1124	771613015	es	ser	vip-3s
1124	771613016	la	la	ld-fs
1124	771613017	que	que	cs
1124	771613018	nos	nosotros	po
1124	771613019	dice	decir	vip-3s
1124	771613020	si	si	cs
1124	771613021	estamos	estar	vip-1p
1124	771613022	trabajando	trabajar	vpp
1124	771613023	bien	bien	r
1124	771613024	o	o	cc
1124	771613025	mal	mal	jms    
1124	771613026	.	$.	y
1124	771613027	Por	por	e
1124	771613028	eso	ese	pd-3cs
1124	771613029	es	ser	vip-3s
1124	771613030	esencial	esencial	jms    
1124	771613031	tomar	tomar	vr
